Unique ID,Primary Handle,All Aliases,AKA,Real Name,Pronounciation,Date of Birth,Country,Twitch,Tiktok,Twitter,Photo URL,,,,,,,,
SSA-P-10159,Ramzy,"ramzzyy>,<ramzyy>,ramzy,ramzzy!",,Ramzy Lrb,,13/02/2006,Algeria,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10160,TeeZee,,,,,,Netherlands,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10161,,,,,,,,,,,,,,,,,,,
SSA-P-10162,reeho!,YMC reeho!,,Reece Horden,,01/06/2007,England,https://www.twitch.tv/reehoRL,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10163,YoScraf ���,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10164,Zany,Zany!,,Jeremy Gaul,,12/12/2007,South Africa,,,,https://rlesport.gg/downloads/player_pics/zany.jpg,,,,,,,,
SSA-P-10165,BramR,BramR_,,,,,Netherlands,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10166,Cryypto,"Pulse Cryypto,Cryypto",,Elliot Webb,,22/04/2004,England,https://www.twitch.tv/cryypto_,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10167,Edek,,,,,,Poland,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10168,energizer,,,Arne Dill,,dd/mm/2004,Germany,https://www.twitch.tv/energizerrl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10169,fimpf83,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10170,,,,,,,,,,,,,,,,,,,
SSA-P-10171,Glfty,Glfty m00n,Glfty m00n,Kairn Rigby,,02/04/2004,England,https://www.twitch.tv/Glftyy,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10172,Jelly,".jelly.���,jelly.���",,Emanuele Minotti,,22/08/2006,Italy,https://www.twitch.tv/jellyrl_,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10173,Kito,,,Jakub Okurowski,,20/06/2003,Poland,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10174,,,,,,,,,,,,,,,,,,,
SSA-P-10175,Toli,,,Andrea Tolipano,,28/12/2004,Italy,https://www.twitch.tv/Tolirll,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10176,Twister,"Twstr.21,Twister.",,Dennis Boxberger,,21/04/2004,Germany,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10177,,,,,,,,,,,,,,,,,,,
SSA-P-10178,wylew,"wylew+<3,WORSTPLEJER",WORSTPLEJER,Bartosz Krząstek,,04/05/2007,Poland,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10179,Armonik,.armonik!,,Pedro Palau,,16/02/2001,Spain,https://www.twitch.tv/ArmoniKRL,,,https://liquipedia.net/commons/images/a/a6/RLCS_World_Championship_2025_LAN_Michal_Konkol_Armonik.jpg,,,,,,,,
SSA-P-10180,ASH <3,,,,,,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10181,Chrono,,,Zabi Qayumi,,08/10/2005,Afghanistan,https://www.twitch.tv/ChronoRL,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10182,Drew.,,,Drew Buckley,,09/10/2004,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10183,Gioxhz.,,,,,,Italy,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10184,Marvalz,,,,,,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10185,TrickStarz,TrickStarz ^-^,,Thomas,,,Norway,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10186,xKekko.,,,,,,Italy,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10187,ZaBle.X,,,,,,Italy,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10188,Revezy,"Revezy_,revezy-",,Joshua Wright,,30/03/2005,England,https://www.twitch.tv/Revezy1,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10189,velocity,,,Adam Jackson,,22/10/2005,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10190,ASN_RuBiiX,,,Rubén Santana Navarro,,09/01/2003,Spain,https://www.twitch.tv/asn_rubiix,,,https://liquipedia.net/commons/images/thumb/8/8b/RLCS_London_Major_2024_LAN_Michal_Konkol_ASN_RuBiiX.jpg/1200px-RLCS_London_Major_2024_LAN_Michal_Konkol_ASN_RuBiiX.jpg,,,,,,,,
SSA-P-10191,Leoro,"Leoro,¿LEORO?,Leoro.",,Pablo León Briones,,26/06/2002,Spain,,,,https://rlesport.gg/downloads/player_pics/leoro.jpg,,,,,,,,
SSA-P-10192,Torres,TORRES8232,,Pablo Torres,,22/09/2004,Spain,,,,https://liquipedia.net/commons/images/c/ca/RLCS_World_Championship_2025_LAN_Michal_Konkol_Torres8232.jpg,,,,,,,,
SSA-P-10193,VKSailen,,,Diego Isla Serrano,,07/06/2003,Spain,https://www.twitch.tv/VKSailen,,,https://liquipedia.net/commons/images/5/57/RLCS_London_Major_2024_LAN_Michal_Konkol_VKSailen.jpg,,,,,,,,
SSA-P-10194,justcama.,,,Dennys Camastro,,22/12/2004,Italy,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10195,AbuLba,"Lba,AbuLba",Lba,Maged Hussein Salim,,16/06/2004,Egypt,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10196,Kexii,"kexii,7kexii, kexii,Mec(K)exii,kexii.",Mec(K)exii,Thomas Kitchener-West,,18/07/2005,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10197,Teschow,"Teschow Rikow,Teschow.",,Kylian Dally,,05/05/2010,Reunion,https://www.twitch.tv/teschow,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10198,Mojito,"Mojito.,mo.",,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10199,tkay,tkay���,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10200,Alex837,,,Alessio Accomando,,06/07/1997,Italy,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10201,Lankai,atR Lankai,,Lankai Lamptey,,,Ghana,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10202,Barist,,,Tommaso Battistoni,,02/02/2001,Italy,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10203,Cyx,"CyxRLCS,Cyx511",,Joe Rouse,,21/02/2005,England,https://www.twitch.tv/cyx101,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10204,Laru,,,Marco La Rosa,,21/04/1990,Italy,,,,https://liquipedia.net/commons/images/8/8a/Laru_-_IRC_Season_10_Finals.jpg,,,,,,,,
SSA-P-10205,valid,"valid.,.,valid.,valid,valid,!evas a tahW,validvalidvalidvvalidvalidvalid,!evas a tahW,valid (Broken Ulna),valid",,Mohsen Wassiem Al-Hassan,,26/02/2007,Saudi Arabia,https://www.twitch.tv/validrl_,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10206,FERGM,FERGM.,,Fernando Gil,,03/12/2004,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10207,yova,".yova,-yova",,Yovanny Mojica Hernández,,05/11/2007,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10208,Bryza,"Bryza ✰,Bryza ���",,Jan Wergusch,,22/12/2004,Germany,https://www.twitch.tv/bryzarr,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10209,Calzafy,,,Calum Mathieson,,26/09/2000,Scottland,,,,https://liquipedia.net/commons/images/2/20/Calzafy.jpg,,,,,,,,
SSA-P-10210,carca,,,Javier Caballero Laguna,,14/07/2003,Spain,https://www.twitch.tv/CarcaRL,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10211,creamyy,,,Joakim Scheelhardt,,22/02/2003,Denmark,https://www.twitch.tv/creamyyrl,https://www.tiktok.com/@creamyyrl,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10212,DAYYS!,,,,,08/02/2006,Scottland,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10213,Devour,"d��vour,Devour ���,devour (6ft),devour (le passion)",,Davor Soldo,,26/11/2010,South Africa,https://www.twitch.tv/devour__rl,,,https://rlesport.gg/downloads/player_pics/devour.jpg,,,,,,,,
SSA-P-10214,Halden,,,Tyler Wood,,04/03/2004,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10215,insp1re,"insp1re,ir,inspaura",,Sem Hellings,,29/10/2005,Netherlands,https://www.twitch.tv/insp1re_rl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10216,Ivan,Ivan.,,Iván Vega Ramírez,,22/12/2003,Spain,https://www.twitch.tv/iivanszn,,,https://liquipedia.net/commons/images/3/31/Ivan_SFL_Season_10.jpg,,,,,,,,
SSA-P-10217,jori,,,Tim Jori,,,Netherlands,https://www.twitch.tv/vensi7,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10218,Khiernan,,,Robert Kiernan,,27/11/2003,Ireland,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10219,Madssssss,Madssssss.,,Mads Lindholm Sørensen,,30/01/2003,Denmark,https://www.twitch.tv/madssssssrl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10220,Mira,Mira.,,Juan Manuel,,03/12/2002,Spain,https://www.twitch.tv/mira_rl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10221,PinGu,"P!nGu, PinGu,PinGu (New Controller), P!nGuzanga, PinGu",,Marcos García Garzás,,29/03/2004,Spain,https://www.twitch.tv/pingu__rl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10222,Qtipz,,,,,dd/mm/2007,Norway,https://www.twitch.tv/Qtiipzz,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10223,Rexo,,,Nicklas Brix,,01/02/2003,Denmark,https://www.twitch.tv/rexorl,,,https://liquipedia.net/commons/images/6/6c/Nitro_League_Season_X_Finals_-_Rexo.JPG,,,,,,,,
SSA-P-10224,Rixy,Rixy.,,,,12/10/2003,Saudi Arabia,https://www.twitch.tv/rlrixy,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10225,rizon,,,Dylan Young,,15/08/2002,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10226,Ravioli,"ravi��li.���, Ravi,ravióli.,ravióli †,ravi��li ���",,Kieolan Padayachee,,dd/mm/2010,South Africa,,,,https://rlesport.gg/downloads/player_pics/ravi.jpg,,,,,,,,
SSA-P-10227,StaaR,"##@!,STAAR",,Cameron Hill,,10/10/2005,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10228,Syke,,,David,,29/03/2006,Spain,https://www.twitch.tv/SykeRL,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10229,Tjester,,,Pascal Rousseau,,13/04/2005,France,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10230,Youngstar,"Youngstar,youngstar. ���",,Kai Kruse,,26/11/2003,Germany,https://www.twitch.tv/YoungstarRL,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10231,arafar,,,André Reis,,23/10/2002,Portugal,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10232,badnezz,"badnezzrl,badnezz.",,Mauro Ongena,,25/12/2003,Belgium,https://www.twitch.tv/badnezzrl,,,https://liquipedia.net/commons/images/b/b4/PGW_2024_Anita_Pijffers_badnezz.jpg,,,,,,,,
SSA-P-10233,Kata,Kata Rikow !,,,,,France,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10234,neiko,,,,,,Portugal,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10235,,,,,,,,,,,,,,,,,,,
SSA-P-10236,Zewix,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10237,npc,,,Victor Heras,,,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10238,Bubble.,,,,,,Portugal,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10239,Deal,,,,,,Netherlands,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10240,DETO,,,,,,Netherlands,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10241,gAmBlE,,,Délano Hoskens,,02/09/2005,Netherlands,https://www.twitch.tv/GambleP,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10242,Kejay,,,,,,Bulgaria,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10243,Evo,"lewis,wthellyNohara,Noharaa","Lewis,wthellyNohara,Noharaa",Lewis E.,,,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10244,Lickse,,,Leonardo Martins,,18/05/2002,Portugal,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10245,Sweezy,Little sweezy^^,,,,,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10246,onizumaa,,,Maxime Hoarau,,27/03/2007,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10247,muss,,,,,,Poland,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10248,RENZO,,,Renzo Bonestroo,,16/05/2005,Netherlannds,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10249,sevenpack,sevenpack.,,,,,Portugal,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10250,Trin,,,Cleveland Marshall,,09/08/2006,England,,,,https://liquipedia.net/commons/images/e/ee/Trin_RL.jpeg,,,,,,,,
SSA-P-10251,Vesh,,,Mateusz Wiśnik,,22/11/2000,Poland,https://www.twitch.tv/Vesh_TV,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10252,voidyy.,,,,,,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10253,marssyy,"wilxnt,marssyy, m,mAArsSyY",wilxnt,Flavien Gallais,,18/05/2008,Reunion,https://www.twitch.tv/mvrsyyy,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10254,Aje,,,,,,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10255,meendas,Josema.,Josema.,,,,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10256,Reshiram,"reshi,reshiram,lovely reshi<3",,Enzo M.,,10/04/2006,France,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10257,sxm,,,,,,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10258,Thooberr,"Thxxberr������, Thooberr",,Tom Huber,,12/03/2006,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10259,Shallow,shallow ���,,Jack Dixon,,03/10/2003,Ireland,https://www.twitch.tv/shallow_rl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10260,Sikii,Siqii.,,,,,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10261,nashlo911,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10262,tepra,arpet,,Eduardo Maria D'Amico,,28/06/2007,Italy,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10263,cramox,,,Christian Fidalgo Aresté,,23/12/2003,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10264,HotWheel1003,,,,,,,,,,,,,,,,,,
SSA-P-10265,Appelsous,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/Appelsous.jpg,,,,,,,,
SSA-P-10266,Bruninho,Skream,,Isaac E.,,18/08/2003,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10267,Flakey,FLAKE,,,,,United States,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10268,NobleWarrior,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10269,Alemz,zeelai,,Alicia Martínez Furriol,,10/03/2004,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10270,tweex,boitjie tweex,,Rion Möller,,11/10/2007,Namibia,,,,https://rlesport.gg/downloads/player_pics/tweex.jpg,,,,,,,,
SSA-P-10271,Cometten,,,Tomáš Skřivánek,,05/02/2004,Czechia,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10272,Czudo,,,Jakub Czudowski,,02/02/2009,Poland,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10273,Dalton,"DaltonZA9644,DaltonZzZ.",,Dalton Foster,,04/02/2008,South Africa,,,,https://rlesport.gg/downloads/player_pics/dalton.jpg,,,,,,,,
SSA-P-10274,SuicideLlama,,,Luke Slater,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10275,LuiisP,,,Luis Puente Peña,,11/12/2003,Spain,https://www.twitch.tv/LuiisP_RL,,,https://liquipedia.net/commons/images/4/45/GRIDSERVE_Resolve_LuiisP.jpg,,,,,,,,
SSA-P-10276,mxshinn,"M$HNN.,mxshinn.,me$hinn.,mshnn.,meshinn",,Dominik Orbán,,27/06/2002,Hungary,https://www.twitch.tv/meshiinn,,,https://rlesport.gg/downloads/player_pics/meshinn.png,,,,,,,,
SSA-P-10277,Peanuts,Peanuts���,,Uthmaan Salasa,,05/11/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/peanuts.jpg,,,,,,,,
SSA-P-10278,Renshiro,,,Jesse Rissanen,,17/03/2003,Finland,https://www.twitch.tv/Renshiro_,,,https://liquipedia.net/commons/images/3/30/RoundsGG_Renshiro_2024.jpeg,,,,,,,,
SSA-P-10279,Stake,NEW PLAYER,,Marc Bosch Plujà,,20/07/2000,Spain,https://www.twitch.tv/stake,,,https://liquipedia.net/commons/images/2/21/Stake.jpg,,,,,,,,
SSA-P-10280,Chancla,��hancla,,Angel,,25/05/2008,Spain,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10281,tehqoz,,,Óscar Arco,,14/03/2006,Spain,,,,https://rlesport.gg/downloads/player_pics/tehqoz.jpg,,,,,,,,
SSA-P-10282,Galaxi22,Galaxii-_-,,,,,France,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10283,halouest,halouest prime,,Luther Rougemont,,30/04/2006,France,https://www.twitch.tv/halouestrl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10284,kayvee,,,,,dd/mm/2007,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10285,Lorax,,,,,dd/mm/2007,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10286,Oji,"øji.,��ji.",,Élizé,,dd/mm/2010,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10287,olam06,,,,,dd/mm/2007,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10288,pandak.,,,Yael Dumazedier,,23/06/2008,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10289,rafgr,raf µµµ,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10290,Sully,Sũlly.,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10291,tykop,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10292,Mercury,,,Matthew Keating,,07/11/2005,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10293,Striker,TTV Striker Flow,,Semih Oyar,,21/09/2004,Germany,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10294,Falco,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10295,MrDragon007,,,,,,,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10296,OneTr1ck,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10297,JeromeMoment,,,,,,,,,,https://rlesport.gg/downloads/player_pics/jerome.png,,,,,,,,
SSA-P-10298,Waarheid.,,,,,,,,,,,,,,,,,,
SSA-P-10299,Sully,S��lly.,,,,,,,,,,,,,,,,,
SSA-P-10300,Yab,Yab ��,,,,,,,,,,,,,,,,,
SSA-P-10301,Zan,,,,,,,,,,,,,,,,,,
SSA-P-10302,Zion,pacifista zion,,Ylan Techer,,7/4/2010,Reunion,,,,,,,,,,,,
SSA-P-10303,smshyy,smashyy__,,Talouba Ilhane ,,19/11/2008,France,twitch.tv/smshyy_,tiktok.com/@smshyy77,x.com/smshyy.,,,,,,,,,
SSA-P-10304,Clays!,orf��v,,Rajaonarivelo Taratra,,3/10/2012,Reunion,twitch.tv/claysrl,tiktok.com/@claysg7,x.com/claysg7,,,,,,,,,
SSA-P-10305,balbine9741,,,,,,Reunion,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
APAC-P-10001,Commutator,,,Shantanu Modak,,,Singapore,https://www.twitch.tv/archierl_,,,https://liquipedia.net/commons/images/8/85/Archie_RLCS_2026_Kickoff_Week_End_Michal_Konkol.jpg,,,,,,,,
APAC-P-10002,LCT,,,Louis Christian Thamrun,,18/08/2002,Indonesia,https://www.twitch.tv/atowwwww,https://www.tiktok.com/@kc_atow,,https://liquipedia.net/commons/images/5/53/Atow_RLCS_2026_Kick_Off_Weekend_Michal_Konkol.jpg,,,,,,,,
APAC-P-10003,Maxeew,,,Max Ng,,28/06/2003,Singapore,,,,https://liquipedia.net/commons/images/3/32/RLCS_World_Championship_2025_LAN_Stephanie_Lindgren_dralii.jpg,,,,,,,,
APAC-P-10004,ReaLize,,,Shogo Ikeyama,,03/05/2001,Japan,https://www.twitch.tv/ExoTiiKrl,,,https://liquipedia.net/commons/images/3/38/RLCS_2026_Kick_Off_Weekend_Exotiik.jpg,,,,,,,,
APAC-P-10005,sigms,,,Isaac Cooper,,11/09/1998,United States,,,,https://liquipedia.net/commons/images/3/35/RLCS_World_Championship_2025_LAN_Michal_Konkol_Joyo.jpg,,,,,,,,
APAC-P-10006,Tenhow,,,Tenhou Igushi,,20/09/2000,Japan,,,,https://liquipedia.net/commons/images/5/5d/Juicy_RLCS_2026_Kick-Off_Weekend_LAN.jpg,,,,,,,,
EU-P-10001,Archie,ARCHIE$,,Archie Pickthall,,11/03/2005,England,,,,https://liquipedia.net/commons/images/3/31/RLCS_World_Championship_2025_LAN_Michal_Konkol_M0nkey_M00n.jpg,,,,,,,,
EU-P-10002,Atow,Atow.,,Tristan Soyez,,22/02/2007,Belgium,,,,https://liquipedia.net/commons/images/f/f4/RLCS_Worlds_2024_LAN_Michal_Konkol_noly.jpg,,,,,,,,
EU-P-10003,dralii,,,Samy Hajji,,06/10/2007,Morocco,,,,https://liquipedia.net/commons/images/9/98/Oaly_RLCS_2026_Kickoff_Week_End_Michal_Konkol.jpg,,,,,,,,
EU-P-10004,ExoTiiK,,,Brice Bigeard,,31/10/2002,France,,,,https://liquipedia.net/commons/images/b/b7/Rise_RLCS_2026_Kickoff_Week_End_Michal_Konkol.jpg,,,,,,,,
EU-P-10005,Joyo,,,Joseph Young,,25/12/2005,England,,,,https://liquipedia.net/commons/images/e/e3/RLCS_Worlds_2023_LAN_Adela_Sznajder_Seikoo.jpg,,,,,,,,
EU-P-10006,juicy,,,Charles Sabiani,,05/03/2005,France,,,,https://liquipedia.net/commons/images/1/11/Vatira_RLCS_2026_Kick_Off_Weekend_Michal_Konkol.jpg,,,,,,,,
EU-P-10007,M0nkey M00n,,,Evan Rogez,,15/11/2002,France,,,,https://liquipedia.net/commons/images/b/b7/RLCS_Raleigh_Major_2025_LAN_Michal_Konkol_yujin.jpg,,,,,,,,
EU-P-10009,oaly,oaly.,,Ole van Doorn,,24/11/2003,Netherlands,,,,https://liquipedia.net/commons/images/3/38/RLCS_London_Major_2024_LAN_Michal_Konkol_Ahmad.jpg,,,,,,,,
EU-P-10010,rise,rise.,,Finlay Ferguson,,05/09/2004,England,,,,https://liquipedia.net/commons/images/c/c8/Esports_World_Cup_2024_RL_João_Ferreira_M7sN.jpg,,,,,,,,
EU-P-10011,Seikoo,,,Enzo Grondein,,07/06/2004,France,,,,https://liquipedia.net/commons/images/9/9b/Esports_World_Cup_2024_RL_João_Ferreira_Smw.jpg,,,,,,,,
EU-P-10012,vatira,vatira.,,Axel Touret,,14/05/2006,France,,,,https://liquipedia.net/commons/images/a/ac/RLCS_World_Championship_2025_LAN_Michal_Konkol_CHEESE.jpg,,,,,,,,
EU-P-10013,yujin,,,Liam Daillac,,27/11/2007,France,,,,https://liquipedia.net/commons/images/7/78/RLCS_Worlds_2024_LAN_Michal_Konkol_Chicago.jpg,,,,,,,,
EU-P-10014,ApparentlyJack,,,Jack Benton,,23/09/2003,England,,,,https://liquipedia.net/commons/images/5/5c/RLCS_London_Major_2024_LAN_Michal_Konkol_Comm.jpg,,,,,,,,
